Pregunta 1	Respuesta 1	Pregunta 2	Respuesta 2	Pregunta 3	Respuesta 3	Pregunta 4	Respuesta 4	Pregunta 5	Respuesta 5	Pregunta 6	Respuesta 6	Pregunta 7	Respuesta 7
¿Qué líquido es conocido como "oro negro"?	Petróleo	¿Qué animal es el símbolo de la paz?	Paloma	¿Qué gas es el más abundante en la atmósfera terrestre?	Nitrógeno	¿En qué país se encuentra la Torre de Pisa?	Italia	¿Cuál es el único número primo par?	2	¿Quién descubrió América?	Cristóbal Colón	¿Tiene el universo un final?	Desconocido
¿Qué color de luz tiene la mayor energía?	Violeta	¿Cuál es el metal más caro del mundo?	Rodio	¿Cuál es el ave más rápida del mundo?	Halcón peregrino	¿Qué tipo de animal es un ajolote?	Anfibio	¿Cuál es la capital de Canadá?	Ottawa	¿Qué país es famoso por su queso y relojes de precisión?	Suiza	¿Se puede viajar más rápido que la luz?	No, según la física actual
¿Cuántos lados tiene un hexágono?	Seis	¿Quién pintó "La última cena"?	Leonardo da Vinci	¿Qué animal puede dormir con un ojo abierto?	Delfín	¿Cuál es el elemento químico con símbolo "Fe"?	Hierro	¿En qué año terminó la Segunda Guerra Mundial?	1945	¿Cuál es el río más largo del mundo?	Amazonas	¿Es la conciencia una ilusión?	Debate filosófico
¿Qué país tiene forma de bota?	Italia	¿Cuál es el océano más profundo del mundo?	Pacífico	¿Qué músculo es el más fuerte del cuerpo humano en proporción a su tamaño?	Masetero	¿Qué vitamina se obtiene con la exposición al sol?	Vitamina D	¿Qué científico es conocido por su trabajo con la electricidad y el rayo?	Benjamin Franklin	¿Cuál es el planeta más cercano al Sol?	Mercurio	¿Es el tiempo una dimensión?	Sí, en la relatividad
¿Cuál es el país con más habitantes del mundo?	China	¿Qué instrumento se usa para medir terremotos?	Sismógrafo	¿Cuántas notas musicales existen en la escala diatónica?	Siete	¿En qué continente se encuentra el desierto de Gobi?	Asia	¿Qué isla es la más grande del mundo?	Groenlandia	¿Cuál es el lenguaje de programación más usado en el mundo?	Python (según tendencias recientes)	¿Podemos crear vida artificial?	En desarrollo
¿Qué animal produce la seda?	Gusano de seda	¿En qué país se encuentra el Taj Mahal?	India	¿Cómo se llama el proceso en el que una oruga se convierte en mariposa?	Metamorfosis	¿Cuál es el idioma más hablado en el mundo?	Inglés (por hablantes totales)	¿Qué instrumento usa la ciencia para observar células?	Microscopio	¿Cuántos océanos hay en el mundo?	Cinco	¿La realidad es subjetiva o objetiva?	Filosófico
¿Cuál es el único planeta del sistema solar que rota de este a oeste?	Venus	¿Qué científico introdujo las vacunas?	Edward Jenner	¿En qué deporte se usa una red y un volante?	Bádminton	¿Cuál es el animal terrestre más grande?	Elefante africano	¿Cuántas vértebras tiene el cuello de una jirafa?	Siete	¿En qué año cayó el Imperio Romano de Occidente?	476 d.C.	¿Existen universos paralelos?	Teoría no comprobada
¿Cuál es el nombre de la galaxia en la que vivimos?	Vía Láctea	¿Qué insecto transmite la malaria?	Mosquito	¿Qué gas se usa en los globos aerostáticos?	Helio	¿En qué año comenzó la Revolución Francesa?	1789	¿Cuál es el símbolo químico del oro?	Au	¿Cómo se llama el proceso de conversión de agua en vapor?	Evaporación	¿Es posible una simulación del universo?	Hipótesis filosófica y científica
¿Qué animal tiene el cerebro más grande en relación a su cuerpo?	Pulpo	¿Cuál es la capital de Australia?	Canberra	¿Cuál es el metal más ligero?	Litio	¿En qué año se fundó la ONU?	1945	¿Qué planeta tiene un gran sistema de anillos?	Saturno	¿Qué gas le da su color verde a las auroras boreales?	Oxígeno	¿Podría la humanidad vivir sin tecnología?	Difícilmente
¿Cuántas patas tiene un cangrejo?	Diez	¿Qué planeta es conocido como el "planeta rojo"?	Marte	¿En qué año comenzó la Primera Guerra Mundial?	1914	¿Qué gas respiramos mayormente?	Nitrógeno	¿Qué país tiene la mayor cantidad de pirámides antiguas?	Sudán	¿Cuál es el proceso inverso a la fotosíntesis?	Respiración celular	¿Podría la IA reemplazar a los humanos en el futuro?	Parcialmente